date,category,amount,description
2026-07-01,Rent,1450.0,Monthly rent
2026-07-02,Shopping,80.89,Gift
2026-07-03,Groceries,33.5,Farmers market
2026-07-05,Utilities,71.42,Water bill
2026-07-05,Dining Out,54.87,Coffee shop
2026-07-06,Groceries,71.68,Weekly grocery run
2026-07-07,Groceries,74.41,Corner store top-up
2026-07-08,Transport,18.36,Parking
2026-07-09,Entertainment,70.25,Movie tickets
2026-07-11,Entertainment,62.56,Streaming rental
2026-07-12,Transport,10.54,Metro card top-up
2026-07-15,Entertainment,63.34,Movie tickets
2026-07-17,Shopping,82.06,Home goods
2026-07-18,Subscriptions,7.42,News subscription
2026-07-20,Utilities,85.91,Internet bill
2026-07-20,Transport,35.76,Fuel
2026-07-21,Dining Out,49.27,Lunch with friends
2026-07-22,Entertainment,67.12,Concert
2026-07-23,Entertainment,76.28,Concert
2026-07-24,Shopping,70.39,Home goods
2026-07-29,Health,41.79,Gym class
2026-07-31,Dining Out,18.56,Dinner out
2026-08-01,Rent,1450.0,Monthly rent
2026-08-01,Entertainment,26.11,Concert
2026-08-02,Health,40.82,Pharmacy
2026-08-03,Groceries,79.47,Weekly grocery run
2026-08-04,Dining Out,39.44,Coffee shop
2026-08-05,Utilities,80.83,Water bill
2026-08-06,Entertainment,27.01,Bowling
2026-08-08,Groceries,64.42,Farmers market
2026-08-09,Transport,35.23,Metro card top-up
2026-08-12,Transport,30.49,Metro card top-up
2026-08-13,Dining Out,33.21,Coffee shop
2026-08-14,Dining Out,29.74,Lunch with friends
2026-08-15,Entertainment,16.85,Movie tickets
2026-08-19,Entertainment,43.7,Bowling
2026-08-20,Utilities,111.71,Electricity bill
2026-08-20,Transport,14.28,Parking
2026-08-21,Health,57.78,Health supplies
2026-08-23,Dining Out,21.95,Lunch with friends
